montoConseguido,titulo,moneda,meta,contribuidores,porcentaje,descripcion,enlace
775,Baby Izekiel is fighting RSV!,U.S. Dollar,5 000,16,16%,"I'm a friend of the family hoping to raise funds to help take the
  edge off some of the financial stresses while Mom and Dad are missing
  work to be by Baby Izekiel's side. Life doesn't stop, medical bills
  will come pouring in, mortgages don't get put on hold, but I'd love to
  help reduce the stresses of these things so Mom and Dad can focus on Izekiel. On Monday Baby Izekiel's breathing was labored and Mom rushed him to
  the local ER. They promptly transported mom and baby to Children's
  Hospital in Milwaukee to be admitted for RSV & bronchiolitis.
  During transport breathing worsened and oxygen tubes were taped on his
  face to assist with his breathing. After no progress, they needed to
  increase his oxygen levels so he was moved to the ICU with an oxygen
  mask put on his chubby cheek face. They were able to remove *some*
  mucus, but it was very little progress. Due to still not seeing progress, Baby Izekiel was sedated and
  intubated and remains in the ICU. Please pray for this sweet boy and his family while he's fighting to
  recover and *hopefully* be healthy enough to get back to the comfort
  of his own home by Christmas with Mom, Dad, big sister and brother and puppies. Any contributions will go straight to the family for the upcoming
  medical bills, and greatly appreciated. If you're unable, please share
  Baby Zeke's story♡",https://fundrazr.com/Izekiel-fundrazr.com
3755,I'm living my bucket list.,Canadian Dollar,4 000,34,94%,"I'm a 56 year old wife, mother, sister, friend, an ordinary person
  and I'm choosing to live before I die. I don't want to look back and
  say I wish I would have ......... so I'm reaching out to the universe
  to help me check of my train trip off my bucket list. My family lives modestly, works hard but has no budget for play. I
  recently left my job due to health cercumstances and believe this
  bucket list project will be the boost I need to get me through this
  difficult time. I would love the opportunity to ride the rails coast to coast. I
  don't need a fancy cabin just a rail pass and the time to experience
  the almost spiritual nature of solitary travel. Thank you for your generosity and compassion. The money raised will
  go toward the train ticket and lodging. The trip will take several on,
  off connections between cities so economy lodging is a part of the cost. Without your help this would not be possible.",https://fundrazr.com/c1Oi88
15980,Help Shelby! Medical Expenses & Liver Transplant,Canadian Dollar,20 000,136,80%,"My close friend Shelby Gielen ( Miller) is not one to ask for help with anything… so it is at this time that
    I am asking you for help on her behalf. As some of you may already
    know, Shelby, a two-time liver transplant recipient, has just found
    out that her current liver is in a late stage of chronic rejection.
    She is going to need another liver transplant in the near future and
    she is already in late stage liver cirrhosis. Over the past few years, Shelby has been suffering terribly from
    other health issues as well. Shelby developed Atypical Trigeminal
    Neuralgia which is a chronic pain condition that affects the
    trigeminal nerve, which carries sensation from your face to your
    brain. Her Atypical Trigeminal Neuralgia (ATN) has progressed to the
    point where she suffers from more frequent bouts of searing pain
    forcing her to significantly cut back on her jewelry designs. Shelby
    has been in and out of pain clinics and hospital for surgeries to
    try and help with the pain for over a year. Her most recent surgery
    for this was in early June 2018 and more will be needed to control
    the facial nerve pain that she refers to as “an ice cream head ache
    that just doesn’t ever go away”. Shelby is a fighter and no one would know by looking at her that
    she was suffering from severe chronic pain or in need of another
    transplant. Knowing the state of her liver, she just won 4 medals at
    the Canadian Transplant Games last month in swimming. She is a strong, motivated, and the most compassionate woman
    you’ll meet who needs our help to show her she is supported in this
    next journey she has to go through. She will never ask for it, so I
    will for her… I am asking you all to help raise $20,000 for Shelby’s
    upcoming medical expenses, prescriptions, bills, hospital parking,
    gas money to VGH, after-transplant care, post-transplant
    accommodations, and more as she prepares for this next medical
    hurdle. Financial worry should not be something she has to stress
    over during this time. She needs to focus on her health and getting
    a new liver. I know Shelby will be more than grateful and so will I. Together
    we can all make this easier for her and ultimately help save her life. (Photo Credits: David Fournier, Scott Gielen, Gerard Gielen,
    Kristen Andrews)",https://fundrazr.com/a1Nn70
220,Help Aiden Get Top Surgery,Swiss Franc,25 000,3,9%,"My name is Aiden. I’m transgender ftm (female to male). I’m
    starting testosterone very soon to become my true self also on the outside. It will help my dysphoria but taking testosterone won’t be
    enough. My chest is a big part of my dysphoria and in order to be myself
    and feel comfortable I need to get top surgery (mastectomy). As I
    can’t afford all of the money I need your help. I will have to pay
    about 3’000.- Swiss francs which I would need ages to save this
    amount of money as I’m not working at the moment and even if I
    would, I wouldn’t get enough money to save some for top surgery. If you have any money you can donate to help me reach my goal
    and get top surgery or share my fundraiser it would mean a lot to
    me! Even if you only can donate 1 CHF it would help me out a lot! If you don' have PayPal and want to
  help me out, simply message me and I will give you my bank details. Thank you guys for supporting me.",https://fundrazr.com/help-aiden-get-top-surgery
255,Cuddle Bears for CHKD cancer patients!,U.S. Dollar,1 000,7,26%,"Hello! My name is Theresa Walker, and I am a Team Leader with Usborne
  Books & More! I am passionate about spreading happiness to
  children, particularly through reading and literacy. This cause is close to my heart, because it will put a smile on the
  face of brave children in their times of struggle. I want each young
  patient who enters CHKD later this year to be met with a Cuddle Bear
  book and plush! I can make that goal a reality with YOUR help. Each Cuddle Bear set (book and plush) costs $25. Any small amount
  that you can help donate - even just $5! - will help put a smile on
  the face of a child in need of a pick-me-up. :) AND, 5% of the proceeds from each set purchased is donated to the
  Scott Carter Foundation to help eliminate pediatric cancer for good. #cuddlesagainstcancer",https://fundrazr.com/cuddlesagainstcancer
550,Let's help Michael Moore see color.,U.S. Dollar,550,18,100%,"Michael Moore is a very hard
      working and capable member of the Airframe shop in an elite Army
      Aviation unit.  His attitude is always a morale boost and if
      anyone deserves a gift from the community and his coworkers, it is
      Moore.  All of us who see color normally understand how great of a
      blessing that is.  The gift of these glasses would give Moore the
      ability to finally experience what most of us have been so
      fortunate to have our entire lives.  He has no idea this is
      happening, so please keep the secret. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency. For more information please read about the Enchroma technology and story. Check out these reactions",https://fundrazr.com/e1NV06
43970,Rebeccas Breast Cancer Healing Journey-Please Help,U.S. Dollar,53000,293,83%,"On April 9th of 2018 my wife, best friend, and mother of our 3
    boys, Rebecca Nowak was diagnosed with Invasive Ductal Carcinoma ER+
    and HER2+ an aggressive form of Breast Cancer .  When we
  received the news our worlds were flipped upside down to say the
  least.  I rushed home from work to put my arms around my wife and
  process this new reality, and within an hour received a call from the
  oncologist to come in and begin a plan of action on how we would treat
  the Cancer.  Those of you that know Rebecca know that we truly believe
  in Alternative and Natural ways of Healing, so we were caught in a
  circumstance that we needed more time to process.  We began praying
  and asking God for guidance on this Journey, and to align us with the
  right people/places, and the wisdom to make whatever decision He
  wanted us to make to get Rebecca well.  After much prayer, Receiving
  ""Signs"" and doing tons of research regarding Natural
  Treatments for Cancer we decided to send my wife to an Alternative
  Cancer Center in Tijuana Mexico. (To Read The Full Story of What Led
  us to Mexico Scroll to the bottom section of this page) Since the Diagnosis, and the First trip to Mexico, we discovered that
  the Cancer has Tripled in size, Metastasized to her Lymph nodes and
  possibly her liver.  We are at a point where we need to combat this
  cancer full force but are running out of funds to do so.  Meanwhile,
  The Cancer continues to takes it's toll on Rebecca's body.  This
  morning at 4am I woke up to find my wife sobbing by my side and
  telling me that she's scared and that her whole body hurts, especially
  her liver and back.  The Cancer is growing at a pace greater than the
  treatment that we have been able to give her up to now.  We need to
  get Rebecca to Mexico for an extended stay of 3-4 weeks where she will
  be monitored constantly and given the most aggressive treatments
  possible to counteract what the Cancer is currently doing.  Some of
  the treatments will include Vitamin C, Ozone, Letrile and IUV
  therapies along with a Natural Cancer Killing Tonic, Natural Form of
  ""Chemo"" (Kills the Cancer Cells without Killing the Good
  Cells), and an Estrogen Receptor Blocker because the Cancer is
  Estrogen Fed.   The cost of Rebecca's Treatment, Testing, Scans, for
  3-4 weeks  will cost $53,000. To all of our family and friends that have taken time to read
    this, Thank you.  Please share with your family, church family and
    friends as well.  We will need your help to reach this goal. -Justin Nowak The Full Story on What led us to Mexico In November 2017 Rebecca had a Thermogram done to check for Breast
  Cancer due to a suspicious lump in her breast.  She was given a clean
  bill of health and told by the Thermographer that it was nothing to be
  concerned with and not Cancer.  We were relieved at that point and
  went on with our lives but the lump continued to increase in size. 
  Five Months Later on April 3rd we scheduled a Biopsy which confirmed
  that it was in fact Grade 3 Invasive Ductal Carcinoma ER+ and HER2+. 
  The news was devastating and we began to pray for signs and direction
  from God on what to do next.  After weeks of doing it on our own with
  a strict diet change, supplements, and cleansing the lymphatic system,
  with no real improvement, we realized that we needed to get my wife in
  the care of specialists.   Rebecca decided to call the Thermographer
  to let her know that she misdiagnosed us, she apologized and explained
  that most scan and tests are never 100% accurate and they always
  recommend a second opinion if we have concerns.  She also told Rebecca
  that she understood what she was going through because 30 years ago
  she was diagnosed with breast cancer and she beat it naturally at an
  Alternative Treatment Center in Tijuana, Mexico.  Then she proceeded
  to tell Rebecca that she had sent over 500 patients to this clinic in
  the past 15 years and they have all been healed naturally of Cancer. The following morning I was looking through unpacked boxes (We had
  just finished a move to Idaho from California when she was diagnosed)
  trying to find a power cord for the printer to print up some
  documents, with no luck.  On the 20th or so box that I cut open, I
  found a white bag with a bright yellow business card in it.  The color
  of the card caught my attention so I picked it up.  The business card
  was for the same clinic in Mexico and on the back of the card, it read
  Ogden, IA. I was in awe, so I asked my wife where
  she got this card from?  She was blown away to and had forgotten all
  about the card.  She proceeded to tell me that an older gentleman that
  used to come into her work in Iowa gave it to her and said, ""If you, or anyone that you know ever gets cancer, you
    should go to this place, they saved my life and they can save
  yours"" .  Rebecca had this card for 12 years.  It made it
  from Iowa, to 4 different homes in California and now to Idaho to be
  found within hours of hearing about this clinic for the first time
  ever from the Thermographer. Four days later, I was at a swap meet in Garden City, ID.  Within a
  few minutes of being there, I see a guy wearing a Classic Ford Bronco
  Shirt which catches my attention because I sell Classic Ford Bronco
  parts for a living and I own a Classic Ford Bronco, so I say,
  ""Hey man, I like your shirt"" After talking Trucks with him
  for a few minutes, we find out that I have sold him parts in the past
  and he knew who I was. I explained the situation to him about my wife
  and he proceeds to tell me about his mother passed from Breast
  Cancer.  When I told him that we were sending my wife to an
  Alternative Treatment Center in Mexico, his face lit up and he
  proceeds to tell me that his friends wife was battling Cancer for
  years and had been given 3 weeks to live by her
  Dr’s. They wanted to give her one more round of
  Chemo in hopes that it would help, but she refused.  With nothing else
  to lose, she decided to go to a treatment center in Mexico which ended
  up being the same Clinic that my wife and I are going to, and is alive
  and well today",https://fundrazr.com/e1Nbl6
1470,Friends of Sarah,U.S. Dollar,500,31,294%,"As many of you know Sarah was diagnosed with Thyroid cancer. On
  September 30th she will undergo radiation treatment,  but her journey
  wont end there. Doctor's visists, hospitals,  (more radiation, fingers
  crossed hopefully not) and recovery is going to take time and money.
  Our goal is 500.00 but anything anyone can give would help her and her
  family so much. Thank you.",https://fundrazr.com/2bdpd
200,Let's Fight Depression with Dance!,U.S. Dollar,10 000,1,2%,"Hi there! My name is Katie and, like millions of others, I struggle
  with depression. As a professional dancer, choreographer, and dance
  instructor for all of my adult life, I've found time and time again
  that when I move my body, I feel a dramatic decline in my depression symptoms. I'm not talking about strenuous exercise (although an intense workout
  can help decrease symptoms as well), I am referring to dance. Or to be
  more specific, Restorative Dance. By performing gooey, calming, yet
  energizing movement, you are allowing your body the chance to begin
  healing. The easy-to-learn steps are a wonderful way to ease your
  symptoms of depression naturally. After concluding a Restorative Dance session, you'll immediately
  notice a rise in energy, mood, and confidence, increased range of
  motion, feeling more connected with your body, and let's not forget, a
  sense of accomplishment for simply taking part! Other benefits of dance include: Boosts Your Mood Reduces Stress Releases Tense Muscles Increases Self-Awareness Improves Balance and Coordination Greater Self-Esteem ...and much more. With your kind donation, I plan to create a Restorative Dance
  DVD—consisting of 3 different sessions as well as a guided
  meditation—and distribute it free of charge to the communities of
  recovery and mental health facilities throughout the country. Whether someone is dealing with depression, bipolar disorder,
  addiction, or anxiety, my aim is to provide a bit of relief to those
  in the process of healing. Thank you so very much in advance. Dance. It. Out!",https://fundrazr.com/fightdepressionwithdance
280,Help Austin get Enchroma glasses,U.S. Dollar,430,8,65%,"Hey y’all, this is Julia! I’m writing this for my amazing fiancé, Austin! At first glance you would never know that there is anything wrong with him, but there is. Austin has a red/green & blue/yellow color deficiency which prevents him from seeing all of the amazing colors that everyone else sees! He has always talked about finding a way to allow him to see the beauty in the every day world and I think I have found a solution~ Enchroma Glasses! I have desperatly been trying to save up the money to purchase him a pair, but sadly something always seems to come up preventing me from doing so. You see, he is an incredibly hard working man who is always working to provide for our family. He deserves this so much and it breaks my heart to see him get frustrated when someone asks him to retrieve an item of certain color and he struggles to find it. Recently, we had a gender reveal for our son who is coming into this world sometime during September 2018. We had a balloon filled with blue confetti, and when the balloon popped Austin thought the confetti was pink until I whispered in his ear that he was indeed getting his baby boy. I want nothing more then to be able to purchase him a pair. I have said nothing to him of what I'm trying to do, so this will be a complete surprise! Thank you and have a blessed day!",https://fundrazr.com/81MAW3
1680,PLEASE HELP SAVE MY MOM,Canadian Dollar,20 000,15,8%,"OUR GAME PLAN We are looking into effective alternative treatments to try to
    save Mom's life. She needs cancer-killing herbs, roots, oils, a raw
    foods diet, and we might even consider a trip to the States to a
    cancer clinic that has had a high success rate in treating people
    with cancer, plus we’re trying to get her moved back to B.C. so she can be
    near to family during this difficult time. The costs she faces are considerable, and unfortunately,
    alternative treatments aren’t recognized or covered under most
    health plans, and standard treatments also entail costs, both of
    which are looming on the horizon. Mom has grappled with health problems for years and suffers with
    pain each day, and yet in spite of this, she has reached out to help
    others heal emotionally. I’m praying that in her time of need, her friends and
    acquaintances will come to her aid. This would pave the way for her to get the treatments she needs
    to win this terrible battle she faces. ABOUT MY MOM From an early age, Mom shared a deep bond with animals. She
    traveled to the tropics and was captivated by the parrots there. In
    later years, she worked with abused parrots and rehabilitated them,
    teaching them to trust and love again. My mom has always been deeply touched by music and she is a
    talented guitarist and plays the piano. One of her favorite piano
    pieces is Clair de Lune by Debussy. She’s also an author and needs more time to finish and publish
    the books she was working on before she fell ill. She is my mother and a loving grandmother and we don't want her
    life cut short, nor have her torn away from us. One of her greatest
    wishes is to have more years to spend with us. LET’S HELP MAKE HER WISHES COME TRUE If you decide to donate to this fundraiser, any gift, whether
    large or small, will be deeply appreciated, and we thank you from
    the bottom of our hearts. Your actions may make a huge difference to
    Mom’s life and to all those who care about her and who don’t want to
    lose her.",https://fundrazr.com/41FO1c
